Grant,Recipient,Amount,Date,Link to grant description,Topics,Funders,Countries
"Vitamin A Supplementation in Sokoto and Kebbi States, Nigeria",Nutrition International,$3879606,2025-07-25,,"Nutrition,Supplementation,Vitamin A supplementation (VAS)","All Grants Fund,Doneer Effectief,Individual donor",Nigeria
RCT of Noora Health’s Maternal and Neonatal Health Care Companion Program,Agency Fund,$3893148,2025-07-24,,"""Maternal, neonatal, and child health"",Research",Board Designated,India
Evaluation of Oral Rehydration Solution and Zinc Distribution Pilot in Chad,Clear Solutions UK,$81573,2025-07-16,https://www.givewell.org/research/grants/Clear-Solutions-Evaluation-of-Oral-Rehydration-Solution-and-Zinc-Distribution-Pilot-in-Chad-July-2025,Oral rehydration solution (ORS),Coefficient Giving,Chad
Increasing Coverage of Zero-Dose and Under-Immunized Children in South Sudan,Malaria Consortium,$5759397,2025-07-14,,Vaccines,"All Grants Fund,Individual donor",South Sudan
In-Line Chlorination Pilots,International Rescue Committee,$4929367,2025-07-10,,"Chlorination,Water",All Grants Fund,"Chad,Nigeria,Somalia"
In-Line Chlorination Pilot,Watalux SA,$692053,2025-07-10,,"Chlorination,Water",Board Designated,Madagascar
In-Line Chlorination Pilots,UNICEF USA,$7423503,2025-07-10,,"Chlorination,Water",All Grants Fund,"Madagascar,Nigeria,Somalia"
Malaria Rapid Diagnostic Test Emergency Procurement in Nigeria,"Clinton Health Access Initiative, Inc.",$842400,2025-07-09,https://www.givewell.org/research/grants/CHAI-Malaria-RDT-Emergency-Procurement-in-Nigeria-July-2025,Malaria,Effektiv Spenden,Nigeria
Azithromycin MDA Workshop,Helen Keller International,$13480,2025-07-08,,Antibiotics,Board Designated,Burkina Faso
Community-Based Management of Acute Malnutrition and Health Services in Somalia,Concern Worldwide US Inc,$3595722,2025-07-07,,"Nutrition,Malnutrition",Coefficient Giving,Somalia
Iron and Folic Acid (IFA) Supplementation in India Renewal,Evidence Action,$4895677,2025-06-27,,"Nutrition,Iron,Supplementation","Board Designated,Doneer Effectief,Individual donor",India
Contraceptive Supply in Nigeria,Access to Medicines Initiative Inc,$159655,2025-06-27,https://www.givewell.org/research/grants/Access-to-Medicines-Initiative-Contraceptive-Supply-in-Nigeria-June-2025,Family planning,Individual donor,Nigeria
In-line Chlorination Pilots,Population Services International,$1384560,2025-06-26,,"Chlorination,Water",Board Designated,"Ethiopia,Somalia"
In-line Chlorination Pilot,"Clinton Health Access Initiative, Inc.",$625830,2025-06-26,,"Chlorination,Water",Board Designated,Burkina Faso
Technical Assistance for In-Line Chlorination Pilots,Mangrove Water,$1764928,2025-06-25,,"Chlorination,Technical assistance,Water",Board Designated,"Burkina Faso,Chad,Ethiopia,Madagascar,Nigeria,Somalia"
In-line Chlorination Pilot,Rhema Care Integrated Development Centre,$499990,2025-06-25,,"Chlorination,Water",Coefficient Giving,Nigeria
In-line Chlorination Pilot,Nomadic Assistance for Peace and Development (NAPAD),$733289,2025-06-25,,"Chlorination,Water",Coefficient Giving,Somalia
Seasonal Malaria Chemoprevention Expansion in Chad,Malaria Consortium,$10427075,2025-06-23,https://www.givewell.org/research/grants/Malaria-Consortium-SMC-Expansion-in-Chad-June-2025,"Malaria,Seasonal malaria chemoprevention (SMC)","Top Charities Fund,Effective Altruism Australia,Effective Altruism New Zealand,Giving What We Can,Giv Effektivt",Chad
Malaria RDTs/ACTs in Private Sector,"Clinton Health Access Initiative, Inc.",$8840648,2025-06-20,,Malaria,All Grants Fund,Nigeria
Iron Absorption Study,Semilla Nueva,$175212,2025-06-06,https://www.givewell.org/research/grants/Semilla-Nueva-Iron-Absorption-Study-June-2025,"Nutrition,Fortification,Research",All Grants Fund,Guatemala
Primary Healthcare and Malnutrition Treatment in Far North Cameroon,ALIMA USA,$2834633,2025-06-03,https://www.givewell.org/research/grants/ALIMA-Primary-Healthcare-and-Malnutrition-Treatment-in-Far-North-Cameroon-June-2025,"Nutrition,Malnutrition",All Grants Fund,Cameroon
Community-Based Management of Acute Malnutrition in South Sudan,Amref Health Africa Inc,$490661,2025-05-28,,"Nutrition,Malnutrition",All Grants Fund,South Sudan
CHAI Incubator Renewal,"Clinton Health Access Initiative, Inc.",$11334747,2025-05-21,,,Coefficient Giving,
In-Line Chlorination Research,"University of California, Berkeley",$2138032,2025-05-19,https://www.givewell.org/research/grants/University-of-California-Berkeley-In-Line-Chlorination-Research-May-2025,"Chlorination,Water",All Grants Fund,"India,Nigeria"
Audit of Dimagi CommCare Connect Pilot,Innovations for Poverty Action,$79742,2025-05-09,https://www.givewell.org/research/grants/Innovations-for-Poverty-Action-Audit-of-Dimagi-CommCare-Connect-Pilot-May-2025,Organizational support,Board Designated,Nigeria
Assessment of Impacts to Vaccine Delivery from U.S. Government Funding Cuts,Results for Development Institute Inc,$271445,2025-05-08,https://www.givewell.org/research/grants/Results-for-Development-R4D-Assessment-of-Impacts-to-Vaccine-Delivery-from-US-Government-Funding-Cuts-April-2025,Vaccines,All Grants Fund,"Democratic Republic of the Congo,Madagascar,Nigeria"
Seasonal Malaria Chemoprevention Implementation in Cameroon,Jhpiego Corporation,$1568395,2025-05-08,https://www.givewell.org/research/grants/Jhpiego-Seasonal-Malaria-Chemoprevention-Implementation-in-Cameroon-May-2025,"Malaria,Seasonal malaria chemoprevention (SMC)","All Grants Fund,Individual donor",Cameroon
"Deworm the World in Nigeria, Kenya, Pakistan in 2027",Evidence Action,$1376392,2025-05-02,https://www.givewell.org/research/grants/Evidence-Actions-Deworm-the-World-Initiative-2027-Funding-for-Nigeria-Kenya-Pakistan-April-2025,Deworming,Coefficient Giving,"Kenya,Nigeria,Pakistan"
Final Round of Insecticide-Treated Net Durability Survey in Cameroon,Population Services International,$200154,2025-04-30,https://www.givewell.org/research/grants/population-services-international-PSI-final-round-of-ITN-durability-survey-in-cameroon-april-2025,Malaria,All Grants Fund,Cameroon
"Vitamin A Supplementation in Mali and Guinea, 2025",Helen Keller International,$389997,2025-04-29,,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",RC Forward,"Guinea,Mali"
Soliciting Expert Forecasts on the Mortality Effect of Water Chlorination,Forecasting Research Institute,$200808,2025-04-08,https://www.givewell.org/research/grants/forecasting-research-institute-soliciting-expert-forecasts-on-the-mortality-effect-of-water-chlorination-april-2025,"Chlorination,Forecasting,Research,Water",Board Designated,
Technical Support Unit,PATH,$824770,2025-04-08,https://www.givewell.org/research/grants/PATH-technical-support-unit-TSU-april-2025,Technical assistance,"All Grants Fund,Individual donor",Democratic Republic of the Congo
Technical Support Units,"Clinton Health Access Initiative, Inc.",$2511961,2025-04-08,https://www.givewell.org/research/grants/clinton-health-access-initiative-chai-technical-support-units-tsus-april-2025,Technical assistance,"All Grants Fund,Effektiv Spenden,Individual donor","Burkina Faso,Malawi,Nigeria,Uganda,Zambia"
Short-Term Seasonal Malaria Chemoprevention Campaign Gaps in Benin,"Clinton Health Access Initiative, Inc.",$173821,2025-04-04,https://www.givewell.org/research/grants/short-term-smc-campaign-gaps-in-guinea-mali-cameroon-c%C3%B4te-dIvoire-togo-and-benin-april-2025,"Malaria,Seasonal malaria chemoprevention (SMC)",Individual donor,"Benin,Cameroon,Côte d’Ivoire,Guinea,Mali,Togo"
"Acute Malnutrition Treatment in DRC, Niger, and Chad",International Rescue Committee,$7992256,2025-04-02,,"Nutrition,Malnutrition","Board Designated,All Grants Fund","Chad,Democratic Republic of the Congo,Niger"
"Monitoring and Evaluation for Insecticide-Treated Nets Campaign in Ondo, Nigeria, 2025",Malaria Consortium,$408142,2025-03-31,https://www.givewell.org/research/grants/Malaria-Consortium-Additional-M-E-for-ITN-campaign-in-Ondo-Nigeria-March-2025,"Malaria,Insecticide-treated nets (ITNs)","Effective Altruism Australia,Giving What We Can",Nigeria
Scoping Grant for New Program Variations,GiveDirectly,$89347,2025-03-28,https://www.givewell.org/research/grants/givedirectly-scoping-grant-for-new-program-variations-march-2025,"Cash transfers,Incentives,Livelihoods,Unconditional cash transfers",All Grants Fund,
Conditional Cash Transfers for Infant Immunizations,New Incentives,$19127586,2025-03-27,https://www.givewell.org/research/grants/new-incentives-extension-of-support-in-northern-nigeria-march-2025,"Conditional cash transfers (CCTs),Incentives,Vaccines","Top Charities Fund,All Grants Fund,Effektiv Spenden,Doneer Effectief,Effective Altruism Australia,Effective Altruism New Zealand",Nigeria
Recruiting Policymakers from LICs to the Policymakers Lab,University of Warwick,$10278,2025-03-27,https://www.givewell.org/research/grants/university-of-warwick-recruiting-policymakers-from-lics-to-the-policymakers-lab-april-2024,Policy,All Grants Fund,
