Grant,Recipient,Amount,Date,Link to grant description,Topics,Funders,Countries
Five-Year Follow-Up and Additional Survey for Raising the Village RCT,University of Michigan,$127294,2024-11-20,https://www.givewell.org/research/grants/innovations-for-poverty-action-and-the-university-of-michigan-five-year-follow-up-and-additional-survey-for-raising-the-village-RCT-november-2024,Livelihoods,All Grants Fund,Uganda
Five-Year Follow-Up and Additional Survey for Raising the Village RCT,Innovations for Poverty Action,$414816,2024-11-20,https://www.givewell.org/research/grants/innovations-for-poverty-action-and-the-university-of-michigan-five-year-follow-up-and-additional-survey-for-raising-the-village-RCT-november-2024,Livelihoods,All Grants Fund,Uganda
"Acute Malnutrition Treatment in Gombe State, Nigeria",The Taimaka Project,$4787985,2024-11-08,https://www.givewell.org/research/grants/taimaka-acute-malnutrition-treatment-in-gombe-state-nigeria-november-2024-and-program-monitoring-march-2025,"Nutrition,Malnutrition","All Grants Fund,Individual donor",Nigeria
Oral Rehydration Solution and Zinc Distribution,New Incentives,$205000,2024-10-23,https://www.givewell.org/research/grants/new-incentives-oral-rehydration-solution-and-zinc-distribution-october-2024,Oral rehydration solution (ORS),Doneer Effectief,Nigeria
Program Performance Management Grant,"Clinton Health Access Initiative, Inc.",$5104824,2024-10-18,https://www.givewell.org/research/grants/clinton-health-access-initiative-chai-program-performance-management-grant-october-2024,Organizational support,Coefficient Giving,
Seasonal Malaria Chemoprevention Renewal in Chad,Malaria Consortium,$3359153,2024-10-09,https://www.givewell.org/research/grants/malaria-consortium-SMC-renewals-in-nigeria-burkina-faso-chad-and-togo#SMC_Renewal_in_ChadQ4_2024,"Malaria,Seasonal malaria chemoprevention (SMC)","Board Designated,Doneer Effectief,Effective Altruism Australia,Effective Altruism New Zealand,Giving What We Can,Individual donor",Chad
Expansion to Niger and Yobe States,New Incentives,$1292138,2024-10-07,https://www.givewell.org/research/grants/new-incentives-expansion-to-niger-and-yobe-states-october-2024,"Conditional cash transfers (CCTs),Incentives,Vaccines","Board Designated,Top Charities Fund,RC Forward,Effective Altruism New Zealand,Giv Effektivt",Nigeria
Chlorine Vouchers Scoping Grant,University of Cape Town,$472362,2024-10-03,https://www.givewell.org/research/grants/j-pal-africa-chlorine-vouchers-scoping-grant-september-2024,"Chlorination,Water",Coefficient Giving,"Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Guinea,Guinea-Bissau,Madagascar,Mali,Niger,Sierra Leone,Somalia,South Sudan,Togo"
History of Philanthropy Case Studies,Urban Institute,$180000,2024-10-02,https://www.givewell.org/research/grants/urban-institute-history-of-philanthropy-case-studies-october-2024,,Board Designated,
Seasonal Malaria Chemoprevention Renewal in South Sudan,Malaria Consortium,$1087342,2024-10-01,https://www.givewell.org/research/grants/malaria-consortium-smc-renewal-in-south-sudan-september-2024,"Malaria,Seasonal malaria chemoprevention (SMC)",Top Charities Fund,South Sudan
Rice Fortification in India,Nutrition International,$476039,2024-09-30,https://www.givewell.org/research/grants/Nutrition-International-Rice-Fortification-in-India-September-2024,"Nutrition,Fortification,Iron",Individual donor,India
Desk-Based Scoping of Programs to Increase Vaccination Coverage,International Rescue Committee,$150000,2024-09-13,https://www.givewell.org/research/grants/International-Rescue-Committee-IRC-Desk-Based-Scoping-of-Programs-to-Increase-Vaccination-Coverage-September-2024%29,Vaccines,Board Designated,
Vitamin A Supplementation in Cameroon and Côte d'Ivoire,Helen Keller International,$2554960,2024-09-13,https://www.givewell.org/research/grants/helen-keller-international-vitamin-a-supplementation-august-september-2024,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",Board Designated,"Cameroon,Côte d’Ivoire"
"Seasonal Malaria Chemoprevention in Karamoja, Uganda in 2025-26",Malaria Consortium,$2731480,2024-09-12,https://www.givewell.org/research/grants/malaria-consortium-seasonal-malaria-chemoprevention-in-karamoja-uganda-in-2025-26-september-2024,"Malaria,Seasonal malaria chemoprevention (SMC)",Top Charities Fund,Uganda
"Vitamin A Supplementation Renewal, Chad",Nutrition International,$2405536,2024-09-10,https://www.givewell.org/research/grants/nutrition-international-vitamin-a-supplementation-renewal-chad-september-2024,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",Coefficient Giving,Chad
"Insecticide-Treated Nets Campaign in Ondo State, Nigeria, 2025",Malaria Consortium,$13381474,2024-08-29,https://www.givewell.org/research/grants/Malaria-Consortium-ITN-Campaign-in-Ondo-State-Nigeria-2025,"Malaria,Insecticide-treated nets (ITNs)","Coefficient Giving,Individual donor",Nigeria
Vitamin A Supplementation in 6 Countries,Helen Keller International,$5824505,2024-08-15,https://www.givewell.org/research/grants/helen-keller-international-vitamin-a-supplementation-august-september-2024,"Nutrition,Supplementation,Vitamin A supplementation (VAS)","Top Charities Fund,Effektiv Spenden,Doneer Effectief,Effective Altruism Australia,Effective Altruism New Zealand,Giving What We Can","Burkina Faso,Cameroon,Democratic Republic of the Congo,Côte d’Ivoire,Guinea,Nigeria"
"Coverage Surveys of Iron and Folic Acid Supplementation in Uttar Pradesh and Bihar, India",Evidence Action,$198993,2024-08-06,https://www.givewell.org/research/grants/evidence-action-coverage-surveys-of-iron-and-folic-acid-supplementation-in-uttar-pradesh-and-bihar-india-august-2024,"Nutrition,Iron,Supplementation",Board Designated,India
Bridge Grant for Iron and Folic Acid Supplementation Program,Evidence Action,$67024,2024-08-01,https://www.givewell.org/research/grants/evidence-action-bridge-grant-for-iron-and-folic-acid-supplementation-program-august-2024,"Nutrition,Iron,Supplementation",Board Designated,India
RCT of Water Entrepreneurship Program Grant,Yale University,$1299147,2024-07-25,https://www.givewell.org/research/grants/y-rise-rct-of-water-entrepreneurship-program-grant-july-2024,"Research,Water",All Grants Fund,Bangladesh
Moxidectin WHO Pre-Qualification Grant,Medicines Development for Global Health,$637549,2024-06-19,https://www.givewell.org/research/grants/medicines-development-for-global-health-moxidectin-who-pre-qualification-grant-june-2024,"Antibiotics,Neglected tropical diseases","All Grants Fund,Individual donor",
Support for Insecticide-Treated Nets Campaigns in DRC,Against Malaria Foundation,$41000000,2024-06-10,https://www.givewell.org/research/grants/AMF-LLIN-DRC-June-2024,"Malaria,Insecticide-treated nets (ITNs)","Coefficient Giving,Board Designated,Top Charities Fund,RC Forward,Effective Altruism Australia,Individual donor",Democratic Republic of the Congo
RCT Workshop,Spark Microgrants,$20000,2024-06-05,https://www.givewell.org/research/grants/spark-microgrants-rct-workshop-june-2024,Research,All Grants Fund,Malawi
CommCare Connect Pilot,Dimagi Inc,$1000186,2024-06-05,https://www.givewell.org/research/grants/dimagi-commcare-connect-pilot-may-2024,Organizational support,All Grants Fund,Nigeria
Community-Based Tuberculosis Household Contact Management,"Clinton Health Access Initiative, Inc.",$15092329,2024-06-04,https://www.givewell.org/research/grants/clinton-health-access-initiative-tuberculosis-household-contact-management-june-2024,Tuberculosis,"Board Designated,All Grants Fund,Individual donor",India
Research on why other funders don't fund opportunities GiveWell does,Center for Global Development,$197000,2024-05-15,https://www.givewell.org/research/grants/center-for-global-development-research-opportunities-may-2024,Technical assistance,Board Designated,
Add-ons to Sierra Leone RCT on Health Service Delivery to Remote Communities,Wageningen University,$676857,2024-05-14,https://www.givewell.org/research/grants/wageningen-university-sierra-leone-rct-2024,"Chlorination,Oral rehydration solution (ORS),Research,Vaccines,Water",All Grants Fund,Sierra Leone
RCT of Eyeglasses Provision,London School of Hygiene and Tropical Medicine,$4786813,2024-05-10,https://www.givewell.org/research/grants/london-school-hygiene-tropical-medicine-eyeglasses-may-2024,"Research,Vision",Individual donor,"India,Kenya"
Program Additions and Expansion,New Incentives,$0,2024-04-23,https://www.givewell.org/research/grants/new-incentives-top-charity-november-2023-program-additions-april-2024,"Conditional cash transfers (CCTs),Incentives,Vaccines",,Nigeria
Liberia Syphilis Screening and Treatment in Pregnancy Exit Grant,Evidence Action,$1214089,2024-04-09,https://www.givewell.org/research/grants/evidence-action-liberia-syphilis-screening-and-treatment-in-pregnancy-exit-grant-april-2024,"HIV/AIDS,Syphilis",Board Designated,Liberia
Our World in Data Unrestricted Funding,Global Change Data Lab,$400000,2024-04-08,https://www.givewell.org/research/grants/our-world-in-data-unrestricted-april-2024,Organizational support,Board Designated,
Review of Against Malaria Foundation's Monitoring,ID Insight Inc,$94500,2024-03-22,https://www.givewell.org/research/grants/IDinsight-review-of-AMFs-monitoring-march-2024,Malaria,All Grants Fund,Democratic Republic of the Congo
"Deworm the World Renewal Grant for Nigeria, Pakistan, Kenya, and India",Evidence Action,$4371604,2024-03-20,https://www.givewell.org/research/grants/evidence-action-deworm-the-world-nigeria-pakistan-kenya-india-march-2024,Deworming,Coefficient Giving,"India,Kenya,Nigeria,Pakistan"
Technical Assistance to Support Malaria Vaccines Rollout,PATH,$17367272,2024-03-15,https://www.givewell.org/research/grants/path-technical-assistance-to-support-malaria-vaccines-rollout-march-2024,"Malaria,Vaccines",All Grants Fund,"Burkina Faso,Democratic Republic of the Congo,Mozambique,Nigeria,Uganda"
"Seasonal Malaria Chemoprevention Campaigns in Borno State, Nigeria in 2024-2025",Malaria Consortium,$9904409,2024-03-11,https://www.givewell.org/research/grants/malaria-consortium-SMC-renewals-in-nigeria-burkina-faso-chad-and-togo#Funding_for_2024_and_2025_SMC_campaigns_in_Borno,"Malaria,Seasonal malaria chemoprevention (SMC)","Top Charities Fund,Individual donor",Nigeria
"Breastfeeding Reminders Pilot in Sindh, Pakistan",Interactive Research & Development (IRD Global),$2760,2024-03-06,https://www.givewell.org/research/grants/ird-global-breastfeeding-reminders-pilot-sindh-march-2024,"""Maternal, neonatal, and child health""",All Grants Fund,Pakistan
"Seasonal Malaria Chemoprevention Renewal in Nigeria, Burkina Faso, and Togo",Malaria Consortium,$57154731,2024-03-01,https://www.givewell.org/research/grants/malaria-consortium-SMC-renewals-in-nigeria-burkina-faso-chad-and-togo#SMC_Renewal_in_Nigeria_Burkina_Faso_and_TogoQ1_2024,"Malaria,Seasonal malaria chemoprevention (SMC)","Top Charities Fund,Effective Altruism New Zealand","Burkina Faso,Nigeria,Togo"
"Malnutrition Treatment Programs in Ngouri and N'Djamena, Chad",ALIMA USA,$2000000,2024-02-20,https://www.givewell.org/research/grants/ALIMA-malnutrition-Ngouri-NDjamena-February-2024,"Nutrition,Malnutrition",Board Designated,Chad
“Be In A Net” Phases 1 and 2,Malaria Consortium,$1480437,2024-02-12,https://www.givewell.org/research/grants/malaria-consortium-be-in-a-net-february-2024,"Malaria,Insecticide-treated nets (ITNs)","All Grants Fund,Individual donor","Nigeria,Uganda"
"Seasonal Malaria Chemoprevention in Nampula, Mozambique in 2024-2025",Malaria Consortium,$14574211,2024-01-31,https://www.givewell.org/research/grants/malaria-consortium-smc-karamoja-uganda-nampula-mozambique-november-2023-january-2024,"Malaria,Seasonal malaria chemoprevention (SMC)","Board Designated,Top Charities Fund,Effektiv Spenden,Effective Altruism Australia,Effective Altruism New Zealand,Giving What We Can,Individual donor",Mozambique
Development Innovation Lab Bridge Grant for RCT of Water Quality Interventions,University of Chicago,$895999,2024-01-25,https://www.givewell.org/research/grants/development-innovation-lab-uchicago-rct-water-quality-interventions-bridge-january-2024,"Chlorination,Water",All Grants Fund,"Malawi,Uganda"
Core Operations Grant,Malengo Inc,$750000,2024-01-19,https://www.givewell.org/research/grants/malengo-core-operations-january-2024,"Livelihoods,Migration","All Grants Fund,Individual donor",Uganda
"Acute Malnutrition Treatment in Burkina Faso, Chad, Democratic Republic of the Congo, Niger, and Somalia",International Rescue Committee,$7485323,2024-01-19,https://www.givewell.org/research/grants/international-rescue-committee-malnutrition-treatment-january-2024,"Nutrition,Malnutrition",Coefficient Giving,"Burkina Faso,Chad,Democratic Republic of the Congo,Niger,Somalia"
"Coverage Surveys of Iron and Folic Acid Supplementation in Karnataka and Tripura, India",Evidence Action,$97000,2024-01-10,https://www.givewell.org/research/grants/evidence-action-IFA-coverage-surveys-india-january-2024,"Nutrition,Iron,Supplementation",Effective Altruism Funds,India
Technical Assistance to Support Malaria Vaccines Rollout (Bridge Grant),PATH,$838000,2024-01-04,https://www.givewell.org/research/grants/path-technical-assistance-to-support-malaria-vaccines-rollout-march-2024,"Malaria,Vaccines",Effective Altruism Funds,"Burkina Faso,Democratic Republic of the Congo,Mozambique,Nigeria,Uganda"
"Center for Effective Global Action, Unrestricted Support","University of California, Berkeley",$787500,2023-12-14,https://www.givewell.org/research/grants/center-for-effective-global-action-unrestricted-december-2023,,All Grants Fund,
CommCare Connect Scoping,Dimagi Inc,$49722,2023-11-14,https://www.givewell.org/research/grants/dimagi-commcare-connect-scoping-november-2023,Organizational support,Board Designated,Nigeria
"Seasonal Malaria Chemoprevention in Nigeria, Burkina Faso, and Togo",Malaria Consortium,$6392822,2023-11-10,https://www.givewell.org/research/grants/malaria-consortium-SMC-renewals-in-nigeria-burkina-faso-chad-and-togo#SMC_Renewal_in_Nigeria_Burkina_Faso_and_TogoQ1_2024,"Malaria,Seasonal malaria chemoprevention (SMC)",Top Charities Fund,"Burkina Faso,Nigeria,Togo"
Conditional Cash Transfers for Infant Immunizations,New Incentives,$7820076,2023-11-10,https://www.givewell.org/research/grants/new-incentives-top-charity-november-2023-program-additions-april-2024,"Conditional cash transfers (CCTs),Incentives,Vaccines",Top Charities Fund,Nigeria
"Seasonal Malaria Chemoprevention in Karamoja, Uganda in 2024",Malaria Consortium,$1427254,2023-11-10,https://www.givewell.org/research/grants/malaria-consortium-smc-karamoja-uganda-nampula-mozambique-november-2023-january-2024,"Malaria,Seasonal malaria chemoprevention (SMC)",Top Charities Fund,Uganda
Co-Delivery of Vitamin A Supplementation and Seasonal Malaria Chemoprevention in Nigeria,Malaria Consortium,$1849540,2023-10-27,https://www.givewell.org/research/grants/malaria-consortium-VAS-SMC-nigeria-october-2023,"Malaria,Nutrition,Supplementation,Vitamin A supplementation (VAS),Seasonal malaria chemoprevention (SMC)","All Grants Fund,Individual donor",Nigeria
"Oral Rehydration Solution and Zinc Distribution in Bauchi, Nigeria","Clinton Health Access Initiative, Inc.",$8073020,2023-09-15,https://www.givewell.org/research/grants/clinton-health-access-initiative-oral-rehydration-solution-zinc-bauchi-nigeria-september-2023,"Oral rehydration solution (ORS),Research","All Grants Fund,Effektiv Spenden,Individual donor",Nigeria
Scale-Up of In-Line Chlorination in India,Evidence Action,$38803510,2023-09-06,https://www.givewell.org/research/grants/evidence-action-in-line-chlorination-india-september-2023,"Chlorination,Water","Coefficient Giving,Effektiv Spenden,Doneer Effectief,Individual donor",India
India In-Line Chlorination Pilot Expansion,Evidence Action,$1030000,2023-07-10,https://www.givewell.org/research/grants/evidence-action-india-ILC-pilot-expansion-july-2023,"Chlorination,Water",All Grants Fund,India
Exit Grant for Deworming in Burundi and Mauritania,Unlimit Health (formerly SCI Foundation),$1012347,2023-06-22,https://www.givewell.org/research/grants/unlimit-health-exit-burundi-mauritania-june-2023,Deworming,"All Grants Fund,Doneer Effectief,Effective Altruism New Zealand","Burundi,Mauritania"
Support for Insecticide-Treated Nets Campaigns in DRC,Against Malaria Foundation,$17554061,2023-06-09,https://www.givewell.org/research/grants/against-malaria-foundation-support-for-itn-campaigns-in-drc-june-2023,"Malaria,Insecticide-treated nets (ITNs)","Top Charities Fund,All Grants Fund",Democratic Republic of the Congo
Monitoring and Evaluation of Clubfoot Treatment Program,MiracleFeet,$596500,2023-05-25,https://www.givewell.org/research/grants/miraclefeet-monitoring-and-evaluation-may-2023,Clubfoot,All Grants Fund,"Chad,Côte d’Ivoire,Philippines"
"Vitamin A Supplementation Renewal, Chad",Nutrition International,$5977851,2023-05-17,https://www.givewell.org/research/grants/nutrition-international-VAS-chad-may-2023,"Nutrition,Supplementation,Vitamin A supplementation (VAS)","All Grants Fund,Effective Altruism Funds",Chad
Expansion of Conditional Cash Transfers for Infant Immunization,New Incentives,$12606851,2023-05-03,https://www.givewell.org/research/grants/new-incentives-nigeria-expansion-extension-may-2023,"Conditional cash transfers (CCTs),Incentives,Vaccines","Top Charities Fund,Effective Altruism Australia,Effective Altruism New Zealand,Giving What We Can",Nigeria
SMS Reminders and Ambassadors for Immunization,Suvita,$3305079,2023-04-19,https://www.givewell.org/research/grants/suvita-sms-reminders-ambassadors-immunization-april-2023,"SMS reminders,Vaccines","All Grants Fund,Individual donor",India
Vitamin A Supplementation in Madagascar,Helen Keller International,$6000000,2023-04-12,https://www.givewell.org/research/grants/helen-keller-international-vitamin-a-supplementation-madagascar-april-2023,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",Individual donor,Madagascar
Deworming in Democratic Republic of the Congo,Sightsavers,$5772073,2023-04-06,https://www.givewell.org/research/grants/sightsavers-drc-april-2023,Deworming,"All Grants Fund,Doneer Effectief,Giving What We Can",Democratic Republic of the Congo
Organizational Support,Interactive Research & Development (IRD Global),$3681228,2023-04-05,https://www.givewell.org/research/grants/ird-global-organizational-support-april-2023,Organizational support,Coefficient Giving,
Radio Transmitters for an RCT,Family Empowerment Media,$500000,2023-03-29,https://www.givewell.org/research/grants/family-empowerment-media-radio-transmitters-rct-march-2023,"Family planning,Mass media,Research",Individual donor,Nigeria
Zero TB Exit Grant,Interactive Research & Development (IRD Global),$736000,2023-03-27,https://www.givewell.org/research/grants/ird-global-zero-tb-exit-march-2023,Tuberculosis,All Grants Fund,Pakistan
Core Operations Grant,Precision Development (PxD),$700000,2023-03-23,https://www.givewell.org/research/grants/precision-development-bridge-september-2022-core-operations-march-2023,Agriculture,All Grants Fund,
Safe Water Scoping Grant,Evidence Action,$6389043,2023-03-03,https://www.givewell.org/research/grants/evidence-action-safe-water-scoping-grant-march-2023,"Chlorination,Water","Coefficient Giving,Individual donor",India
Mobile Conditional Cash Transfers for Immunizations,Interactive Research & Development (IRD Global),$2712552,2023-02-28,https://www.givewell.org/research/grants/IRD-global-mCCTs-for-immunizations-february-2023,"Conditional cash transfers (CCTs),Incentives,Vaccines",Individual donor,Pakistan
"Study of Perennial Malaria Chemoprevention/RTS,S Malaria Vaccine",PATH,$2575759,2023-02-08,https://www.givewell.org/research/grants/PATH-perennial-malaria-chemoprevention-rtss-malaria-vaccine-study-february-2023,"Malaria,Perennial malaria chemoprevention (PMC),Vaccines",Coefficient Giving,Ghana
Vitamin A Supplementation in 8 Countries,Helen Keller International,$71513000,2023-01-31,https://www.givewell.org/research/grants/Helen-Keller-International-vitamin-A-supplementation-January-2023,"Nutrition,Supplementation,Vitamin A supplementation (VAS)","Coefficient Giving,Effective Altruism Australia,Giving What We Can","Burkina Faso,Cameroon,Democratic Republic of the Congo,Côte d’Ivoire,Guinea,Mali,Niger,Nigeria"
"Deworm the World in Nigeria, Pakistan, and Kenya",Evidence Action,$7713128,2023-01-26,https://www.givewell.org/research/grants/evidence-action-deworm-the-world-nigeria-pakistan-kenya-january-2023,Deworming,"Board Designated,Other,All Grants Fund,Giving What We Can,GW - Donor Designated Top Charity Funds","Kenya,Nigeria,Pakistan"
Tree Program RCT and Data Collection,One Acre Fund,$1652649,2023-01-25,https://www.givewell.org/research/grants/one-acre-fund-tree-rct-january-2023,"Agriculture,Research",All Grants Fund,Rwanda
"Renewal for Deworming in Nigeria, Chad, and Cameroon",Sightsavers,$11195955,2023-01-25,https://www.givewell.org/research/grants/sightsavers-deworming-renewal-january-2023,Deworming,Coefficient Giving,"Cameroon,Chad,Nigeria"
Development Innovation Lab RCT of Water Quality Interventions: Phase 1,University of Chicago,$1801387,2023-01-24,https://www.givewell.org/research/grants/development-innovation-lab-uchicago-rct-water-quality-interventions-january-2023,"Chlorination,Research,Water",All Grants Fund,Kenya
"Seasonal Malaria Chemoprevention Renewal in Nigeria, Burkina Faso, Chad, and Togo",Malaria Consortium,$87490260,2023-01-23,https://www.givewell.org/research/grants/Malaria-Consortium-SMC-renewal-Nigeria-Burkina-Chad-Togo-January-2023,"Malaria,Seasonal malaria chemoprevention (SMC)","Coefficient Giving,Top Charities Fund,Effektiv Spenden,Doneer Effectief,Effective Altruism New Zealand,Vanguard Charitable","Burkina Faso,Chad,Nigeria,Togo"
Clubfoot Treatment,MiracleFeet,$5210581,2023-01-18,https://www.givewell.org/research/grants/miraclefeet-clubfoot-treatment-january-2023,Clubfoot,"Coefficient Giving,Doneer Effectief,Individual donor","Chad,Côte d’Ivoire,Philippines"
Youth Empowerment Fellowships,Agency Fund,$855000,2023-01-17,https://www.givewell.org/research/grants/agency-fund-fellowships-january-2023,Livelihoods,Effective Altruism Funds,
Research on Child Mortality and Long-Term Health Effects of Participatory Learning and Action,University College London,$339696,2023-01-09,https://www.givewell.org/research/grants/university-college-london-participatory-learning-and-action-january-2023,"""Maternal, neonatal, and child health"",Research",All Grants Fund,Bangladesh
Childhood Pneumonia Treatment Program Phaseout,Results for Development Institute Inc,$1006445,2022-12-21,https://www.givewell.org/research/grants/results-for-development-december-2022,Antibiotics,Board Designated,Tanzania
Malnutrition Treatment in Niger and Nigeria,ALIMA USA,$13199213,2022-11-17,https://www.givewell.org/research/grants/alliance-for-international-medical-action-malnutrition-chad-may-2021-niger-nigeria-november-2022,"Nutrition,Malnutrition",Board Designated,"Niger,Nigeria"
Perennial Malaria Chemoprevention Pilot in the Democratic Republic of the Congo,PATH,$6226000,2022-11-15,https://www.givewell.org/research/grants/PATH-perennial-malaria-chemoprevention-pilot-democratic-republic-of-congo-november-2022,"Malaria,Perennial malaria chemoprevention (PMC)",Board Designated,Democratic Republic of the Congo
Scoping Grant for Participatory Learning and Action for Maternal and Neonatal Health,Spark Microgrants,$53740,2022-11-15,https://www.givewell.org/research/grants/spark-microgrants-participatory-learning-action-mnh-november-2022,"""Maternal, neonatal, and child health""",All Grants Fund,"Malawi,Rwanda,Uganda"
Expansion of Conditional Cash Transfers for Infant Immunization,New Incentives,$30186650,2022-11-04,https://www.givewell.org/research/grants/new-incentives-nigeria-expansion-november-2022,"Conditional cash transfers (CCTs),Incentives,Vaccines","Board Designated,Top Charities Fund,All Grants Fund",Nigeria
Newborn Care Program Focused on Kangaroo Mother Care,"RICE Institute, Inc",$2423199,2022-11-02,https://www.givewell.org/research/grants/rice-kangaroo-mother-care-november-2022,"""Maternal, neonatal, and child health""","Board Designated,Individual donor",India
Scoping Grant for In-Line Chlorination in Rwanda,One Acre Fund,$317150,2022-10-11,https://www.givewell.org/research/grants/one-acre-fund-ILC-scoping-rwanda-october-2022,"Chlorination,Water",All Grants Fund,Rwanda
Planning Grant for RCT of IRD's Zero TB Program,Johns Hopkins University,$102732,2022-09-28,https://www.givewell.org/research/grants/ird-global-johns-hopkins-zero-tb-planning-august-2022,"Research,Tuberculosis",Effective Altruism Funds,Pakistan
Bridge Grant for Mobile Agricultural Advice Scoping,Precision Development (PxD),$286709,2022-09-26,https://www.givewell.org/research/grants/precision-development-bridge-september-2022-core-operations-march-2023,Agriculture,All Grants Fund,
Planning Grant for Research on Tree Program,One Acre Fund,$77523,2022-09-12,https://www.givewell.org/research/grants/one-acre-fund-planning-grant-September-2022,Agriculture,Effective Altruism Funds,Rwanda
Planning Grant for RCT of Zero TB Program,Interactive Research & Development (IRD Global),$1016599,2022-08-29,https://www.givewell.org/research/grants/ird-global-johns-hopkins-zero-tb-planning-august-2022,"Research,Tuberculosis",Coefficient Giving,Pakistan
Iron and Folic Acid (IFA) Supplementation in India,Evidence Action,$9216654,2022-08-26,https://www.givewell.org/research/grants/evidence-action-iron-folic-acid-supplementation-india-august-2022,"Nutrition,Iron,Supplementation",Coefficient Giving,India
CHAI Incubator,"Clinton Health Access Initiative, Inc.",$8625431,2022-08-09,https://www.givewell.org/research/grants/Clinton-Health-Access-Initiative-Incubator-August-2022,Organizational support,Coefficient Giving,
Seasonal Malaria Chemoprevention,Malaria Consortium,$13530733,2022-08-02,https://www.givewell.org/research/grants/malaria-consortium-SMC-july-and-august-2022,"Malaria,Seasonal malaria chemoprevention (SMC)","Top Charities Fund,Effective Altruism Funds","Burkina Faso,Chad,Nigeria,Togo"
Research on Program Reach Estimates,ID Insight Inc,$71000,2022-07-21,https://www.givewell.org/research/grants/IDinsight-program-reach-research-august-2022,Research,Board Designated,
Yale Research Initiative on Innovation and Scale (Y-RISE) Operational Grant,Yale University,$1350017,2022-07-15,https://www.givewell.org/research/grants/yale-research-initiative-on-innovation-and-scale-operational-grant-december-2022,Organizational support,All Grants Fund,
Syphilis Screening and Treatment in Pregnancy in Zambia and Cameroon,Evidence Action,$15818773,2022-07-12,https://www.givewell.org/research/grants/evidence-action-syphilis-july-2022,"HIV/AIDS,""Maternal, neonatal, and child health"",Syphilis","Coefficient Giving,Individual donor","Cameroon,Zambia"
Follow-up for Cash Transfers Study,"University of California, Berkeley",$1788799,2022-07-07,https://www.givewell.org/research/grants/UC-Berkeley-cash-transfers-follow-up-July-2022,"Cash transfers,Incentives,Livelihoods,Research,Unconditional cash transfers",Coefficient Giving,Kenya
"In-Line Chlorination, Malawi",Evidence Action,$5596603,2022-07-06,https://www.givewell.org/research/grants/evidence-action-ILC-july-2022,"Chlorination,Water",Coefficient Giving,Malawi
Expansion of Conditional Cash Transfers for Infant Immunization,New Incentives,$35144600,2022-05-27,https://www.givewell.org/research/grants/new-incentives-nigeria-expansion-may-2022,"Conditional cash transfers (CCTs),Incentives,Vaccines","Coefficient Giving,Top Charities Fund",Nigeria
Support for Long-Lasting Insecticidal Nets Campaign in South Sudan,Against Malaria Foundation,$8163835,2022-05-26,https://www.givewell.org/research/grants/AMF-LLIN-campaign-South-Sudan-May-2022,"Malaria,Insecticide-treated nets (ITNs)",Top Charities Fund,South Sudan
General Support,One For the World (MAIN),$299285,2022-05-20,https://www.givewell.org/about/impact/one-for-the-world/may-2022-grant,Organizational support,Coefficient Giving,
Trailbridge Building in Rwanda,Fika (formerly Bridges to Prosperity),$3390138,2022-05-12,https://www.givewell.org/research/grants/bridges-to-prosperity-trailbridge-building-rwanda-may-2022,"Infrastructure,Research",Coefficient Giving,Rwanda
Scoping Grant for Mobile Agricultural Advice Program,Precision Development (PxD),$539864,2022-03-31,https://www.givewell.org/research/incubation-grants/PxD-scoping-march-2022,Agriculture,Coefficient Giving,
Development of an R Package for Bayesian Evidence Aggregation,WAW Statistical Consulting Ltd,$66400,2022-03-01,https://www.givewell.org/research/incubation-grants/WAW-statistical-consulting-baggr-march-2022,Research,Coefficient Giving,
Deworming Follow-up Planning Grant,University of Washington,$111856,2022-02-24,https://www.givewell.org/research/incubation-grants/University-of-Washington-deworming-planning-grant-February-2022,"Deworming,Research",Individual donor,"Benin,India,Malawi"
"Seasonal Malaria Chemoprevention, Nampula, Mozambique",Malaria Consortium,$15918958,2022-02-15,https://www.givewell.org/research/grants/Malaria-Consortium-SMC-Mozambique-February-2022,"Malaria,Seasonal malaria chemoprevention (SMC)",Coefficient Giving,Mozambique
"Scoping Grant to Assess Funding Gaps for Deworming in DRC, Côte d'Ivoire, and Sudan",Sightsavers,$118000,2022-02-01,https://www.givewell.org/research/grants/sightsavers-scoping-grant-funding-gaps-february-2022,Deworming,Coefficient Giving,"Democratic Republic of the Congo,Côte d’Ivoire,Sudan"
"Vitamin A Supplementation in Chad, 2022-2024",Nutrition International,$8951600,2022-01-27,https://www.givewell.org/research/grants/nutrition-international-VAS-chad-January-2022,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",Coefficient Giving,Chad
Vitamin A Supplementation in 9 Countries,Helen Keller International,$46678390,2022-01-27,https://www.givewell.org/research/grants/Helen-Keller-International-vitamin-A-supplementation-January-2022,"Nutrition,Supplementation,Vitamin A supplementation (VAS)","Coefficient Giving,Board Designated,Other,Top Charities Fund,Effective Altruism Funds,Effektiv Spenden,Individual donor,Vanguard Charitable","Burkina Faso,Cameroon,Democratic Republic of the Congo,Côte d’Ivoire,Guinea,Kenya,Mali,Niger,Nigeria"
